log_time,similarity_percentage,time_taken,image1,image2
12/06/2023 08:01:26,61.13434940401452,1.3788650035858154,data/me1.jpg,data/me2.jpg
12/06/2023 12:55:37,61.13434940401452,1.3669781684875488,data/me1.jpg,data/me2.jpg
12/06/2023 12:58:35,61.767075417939466,0.42954087257385254,data/me1.jpg,data/me2.jpg
12/06/2023 12:58:46,61.13434940401452,1.3492159843444824,data/me1.jpg,data/me2.jpg
14/07/2023 00:19:40,27.43088464240944,0.3004751205444336,./images/26b411c1-2ff6-40c2-9522-24672a73260b.JPG,./images/5e444a54-77c8-4ddf-af5f-9264eeb14ff4.JPG
14/07/2023 00:20:52,27.43088464240944,0.16704797744750977,./images/50dfb63f-cc54-4852-a93e-94cc678ecbce.JPG,./images/c28f1762-36cb-4f6b-bfff-7909167f2020.JPG
14/07/2023 00:21:13,27.43088464240944,0.23318004608154297,./images/609b3c2f-efd8-40cf-84d2-b88d47fa1388.JPG,./images/709e7f0b-5bad-4b83-9314-e51a352b4753.JPG
14/07/2023 00:23:13,24.53278329255021,0.40021181106567383,./images/34a6284d-8462-4270-a92c-48bdbc7642da.jpeg,./images/dfd24790-cd1a-4956-81ba-c8a2b38eb561.JPG
14/07/2023 00:23:23,24.53278329255021,0.19708609580993652,./images/d9fe7b0e-5be3-422a-9b4f-61020b6a4399.jpeg,./images/71e36643-55a4-4e90-87ba-0e049da2a39d.JPG
14/07/2023 00:23:32,24.53278329255021,0.3147928714752197,./images/97522b28-a10c-45a7-8ed4-d72555631839.jpeg,./images/f7968f4c-44ab-49c2-9b4c-b77ab7e9bd9c.JPG
14/07/2023 00:23:41,24.53278329255021,0.41535186767578125,./images/4710e8b9-3502-43d0-b917-460caa095bff.jpeg,./images/22781eca-988a-4c6f-9179-09b30eac9d21.JPG
14/07/2023 00:24:27,24.53278329255021,0.30826377868652344,./images/91c3ebff-b127-4172-b0cc-3b28353a6fbb.jpeg,./images/e813d444-2112-435e-b0f6-749f100d1fb4.JPG
14/07/2023 00:32:11,15.554725331474451,0.5696320533752441,./images/19ac1d9d-1b99-4f13-9528-2eabd2ef8279.jpg,./images/efef37a3-6507-4c33-a08c-5f8ecd0e3100.JPG
14/07/2023 00:39:22,,0.3697378635406494,./images/3757c6ed-3e63-4100-9627-b3c5b2e32f96.png,./images/4dc74740-5b3c-40c7-bfc1-9621789fbb62.JPG
14/07/2023 00:39:31,,0.3346860408782959,./images/4b3d159f-5a9d-4022-8aa2-05db07ed0ece.png,./images/b60914d6-abc5-4327-9d26-7520e04e5247.JPG
14/07/2023 00:50:45,,0.4636862277984619,./images/0ab99987-7c3c-47b9-9fd6-919bc4157754.png,./images/450b001a-0a05-4861-aaaf-b750f8e6dffe.JPG
